rank,course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
199,970317,תורת המשחקים השיתופיים,201602 to 202401,8,80.994,310,95.063,3.6,10,https://michael-maltsev.github.io/technion-histograms/00970317/,https://cheesefork.cf/?course=00970317&semester=202501
200,3340021,מגמות בהנדסה ביו,201301 to 202401,12,90.566,1129,99.885,3.6,15,https://michael-maltsev.github.io/technion-histograms/03340021/,https://cheesefork.cf/?course=03340021&semester=202501
201,440191,מערכות בקרה 1,201002 to 202402,19,79.294,1423,93.194,3.611,18,https://michael-maltsev.github.io/technion-histograms/00440191/,https://cheesefork.cf/?course=00440191&semester=202502
202,340028,מכניקת מוצקים 1,201102 to 202402,23,68.662,2437,84.852,3.632,38,https://michael-maltsev.github.io/technion-histograms/00340028/,https://cheesefork.cf/?course=00340028&semester=202502
203,840737,מערכות דינמיות,201502 to 202402,11,80.255,787,96.188,3.636,11,https://michael-maltsev.github.io/technion-histograms/00840737/,https://cheesefork.cf/?course=00840737&semester=202502
204,1140077,פיסיקה 1ל,201401 to 202501,24,69.658,1674,83.565,3.636,22,https://michael-maltsev.github.io/technion-histograms/01140077/,https://cheesefork.cf/?course=01140077&semester=202501
205,2340118,ארגון ותכנות המחשב,201401 to 202402,23,77.879,5329,94.422,3.636,77,https://michael-maltsev.github.io/technion-histograms/02340118/,https://cheesefork.cf/?course=02340118&semester=202502
206,3240460,מחשבה מדינית יהודית עד העת החדשה,201602 to 202401,4,94.496,205,98.156,3.636,11,https://michael-maltsev.github.io/technion-histograms/03240460/,https://cheesefork.cf/?course=03240460&semester=202401
207,1140076,פיסיקה 2פ',201202 to 202402,13,75.416,1721,90.674,3.642,53,https://michael-maltsev.github.io/technion-histograms/01140076/,https://cheesefork.cf/?course=01140076&semester=202502
208,940423,מבוא לסטטיסטיקה,201402 to 202403,24,78.474,2467,94.9,3.643,28,https://michael-maltsev.github.io/technion-histograms/00940423/,https://cheesefork.cf/?course=00940423&semester=202502
