course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00840738,תורת הבקרה,201601 to 202501,11,82.652,792,96.366,3.267,15,https://michael-maltsev.github.io/technion-histograms/00840738/,https://cheesefork.cf/?course=00840738&semester=202501
00940101,מבוא להנדסת תעשיה וניהול,201502 to 202401,13,79.825,725,97.001,3.438,16,https://michael-maltsev.github.io/technion-histograms/00940101/,https://cheesefork.cf/?course=00940101&semester=202501
00940139,נהול שרשראות אספקה ומע' לוגיסטיות,201402 to 202402,11,76.788,675,93.508,3.000,13,https://michael-maltsev.github.io/technion-histograms/00940139/,https://cheesefork.cf/?course=00940139&semester=202502
00940170,שיטות בהנדסת תעשיה,201901 to 202401,6,84.845,235,98.787,3.545,11,https://michael-maltsev.github.io/technion-histograms/00940170/,https://cheesefork.cf/?course=00940170&semester=202501
00940202,מבוא לניתוח נתונים,201902 to 202402,6,80.316,725,92.022,4.040,25,https://michael-maltsev.github.io/technion-histograms/00940202/,https://cheesefork.cf/?course=00940202&semester=202502
00940210,ארגון המחשב ומערכות הפעלה,201202 to 202402,11,77.212,1810,94.996,2.377,53,https://michael-maltsev.github.io/technion-histograms/00940210/,https://cheesefork.cf/?course=00940210&semester=202502
00940219,הנדסת תוכנה,201601 to 202402,16,71.571,1690,85.870,3.526,57,https://michael-maltsev.github.io/technion-histograms/00940219/,https://cheesefork.cf/?course=00940219&semester=202502
00940222,הנדסת מערכות מבוססת מודלים,201501 to 202401,13,90.221,1164,100.000,3.850,20,https://michael-maltsev.github.io/technion-histograms/00940222/,https://cheesefork.cf/?course=00940222&semester=202501
00940224,מבני נתונים ואלגוריתמים,201701 to 202401,10,76.380,1512,92.078,2.983,59,https://michael-maltsev.github.io/technion-histograms/00940224/,https://cheesefork.cf/?course=00940224&semester=202502
00940241,ניהול מסדי נתונים,201602 to 202402,16,77.794,1733,93.380,3.766,47,https://michael-maltsev.github.io/technion-histograms/00940241/,https://cheesefork.cf/?course=00940241&semester=202502
00940312,מודלים דטרמיניסטים בחקר ביצועים,202301 to 202501,3,69.961,325,81.403,3.417,24,https://michael-maltsev.github.io/technion-histograms/00940312/,https://cheesefork.cf/?course=00940312&semester=202502
00940314,מודלים סטוכסטיים בחקר בצועים,201402 to 202501,18,74.130,1982,90.948,3.250,36,https://michael-maltsev.github.io/technion-histograms/00940314/,https://cheesefork.cf/?course=00940314&semester=202502
00940333,מודלים דינמיים בחקר ביצועים,201801 to 202301,8,81.293,639,96.069,4.167,12,https://michael-maltsev.github.io/technion-histograms/00940333/,https://cheesefork.cf/?course=00940333&semester=202501
00940345,מתמטיקה דיסקרטית ת',201602 to 202501,17,66.439,1988,76.747,2.968,94,https://michael-maltsev.github.io/technion-histograms/00940345/,https://cheesefork.cf/?course=00940345&semester=202502
00940411,הסתברות ת',201401 to 202501,21,70.061,2370,87.660,3.051,39,https://michael-maltsev.github.io/technion-histograms/00940411/,https://cheesefork.cf/?course=00940411&semester=202502
00940412,הסתברות מ,201301 to 202402,24,73.491,6036,85.637,2.855,131,https://michael-maltsev.github.io/technion-histograms/00940412/,https://cheesefork.cf/?course=00940412&semester=202502
00940423,מבוא לסטטיסטיקה,201402 to 202403,24,78.474,2467,94.900,3.643,28,https://michael-maltsev.github.io/technion-histograms/00940423/,https://cheesefork.cf/?course=00940423&semester=202502
00940424,סטטיסטיקה 1,202101 to 202501,11,76.838,939,93.904,4.073,41,https://michael-maltsev.github.io/technion-histograms/00940424/,https://cheesefork.cf/?course=00940424&semester=202502
00940481,מבוא להסתברות וסטטיסטיקה,201402 to 202501,28,78.881,3470,92.399,3.778,27,https://michael-maltsev.github.io/technion-histograms/00940481/,https://cheesefork.cf/?course=00940481&semester=202502
00940503,מיקרו כלכלה 1,201502 to 202402,10,77.226,504,92.992,3.364,11,https://michael-maltsev.github.io/technion-histograms/00940503/,https://cheesefork.cf/?course=00940503&semester=202502
00940513,מאקרו כלכלה,201601 to 202201,7,79.411,343,95.265,3.273,11,https://michael-maltsev.github.io/technion-histograms/00940513/,https://cheesefork.cf/?course=00940513&semester=202501
00940564,מבוא לניהול פיננסי,201402 to 202501,15,79.504,1984,91.548,2.718,39,https://michael-maltsev.github.io/technion-histograms/00940564/,https://cheesefork.cf/?course=00940564&semester=202501
00940569,שוק ההון וההשקעות,201602 to 202401,8,86.733,526,98.441,4.200,10,https://michael-maltsev.github.io/technion-histograms/00940569/,https://cheesefork.cf/?course=00940569&semester=202501
00940591,מבוא לכלכלה,201101 to 202402,34,80.418,8154,92.131,3.989,87,https://michael-maltsev.github.io/technion-histograms/00940591/,https://cheesefork.cf/?course=00940591&semester=202502
00940594,עקרונות הכלכלה למהנדסים,201302 to 202501,20,75.538,1616,88.194,2.656,32,https://michael-maltsev.github.io/technion-histograms/00940594/,https://cheesefork.cf/?course=00940594&semester=202501
00940700,מבוא להנדסת נתונים,202002 to 202402,5,79.200,620,93.856,2.833,36,https://michael-maltsev.github.io/technion-histograms/00940700/,https://cheesefork.cf/?course=00940700&semester=202502
00940704,סדנת תכנות בשפת סי,202001 to 202501,6,75.380,392,86.912,2.818,22,https://michael-maltsev.github.io/technion-histograms/00940704/,https://cheesefork.cf/?course=00940704&semester=202501
