course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140609,מיכון בבנייה,201802 to 202402,4,82.709,117,95.709,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140609/,https://cheesefork.cf/?course=00140609&semester=202502
00140613,ניהול משאבי אנוש בבנייה,201901 to 201901,1,77.474,19,100.000,2.500,2,https://michael-maltsev.github.io/technion-histograms/00140613/,https://cheesefork.cf/?course=00140613&semester=202501
00140615,מבוא לניהול פיננסי בבנייה,201701 to 202402,13,76.369,512,89.312,3.000,3,https://michael-maltsev.github.io/technion-histograms/00140615/,https://cheesefork.cf/?course=00140615&semester=202502
00140616,"ביצוע פרויקטים, ניהול ומנהיגות",202001 to 202501,3,86.111,45,100.000,3.000,1,https://michael-maltsev.github.io/technion-histograms/00140616/,https://cheesefork.cf/?course=00140616&semester=202501
00140617,תכנון ובקרה של פרוייקטי בנייה,201901 to 202401,6,80.837,208,94.692,2.333,3,https://michael-maltsev.github.io/technion-histograms/00140617/,https://cheesefork.cf/?course=00140617&semester=202501
00140618,מבוא לניהול ובטיחות בבנייה,201901 to 202402,7,81.608,1110,98.532,4.375,16,https://michael-maltsev.github.io/technion-histograms/00140618/,https://cheesefork.cf/?course=00140618&semester=202502
00140619,שיטות ביצוע בבנייה,201902 to 202302,5,84.762,378,100.000,3.750,4,https://michael-maltsev.github.io/technion-histograms/00140619/,https://cheesefork.cf/?course=00140619&semester=202501
00140620,עקרונות תכן מבנים בהנדסת ביצוע,201801 to 202301,6,84.600,140,99.286,,0,https://michael-maltsev.github.io/technion-histograms/00140620/,https://cheesefork.cf/?course=00140620&semester=202401
00140621,עקרונות תכן מבנים בהנדסת ביצוע,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140621/,https://cheesefork.cf/?course=00140621&semester=202501
00140630,מבוא להיבטים משפטיים בבנייה,201901 to 202401,5,92.019,208,99.490,4.750,4,https://michael-maltsev.github.io/technion-histograms/00140630/,https://cheesefork.cf/?course=00140630&semester=202501
00140631,אומדן עלויות של פרויקטי תשתית,201901 to 202401,2,84.244,30,93.333,,0,https://michael-maltsev.github.io/technion-histograms/00140631/,https://cheesefork.cf/?course=00140631&semester=202501
00140632,פרויקטי תשתית: שיטות וניהול,201802 to 202102,4,81.506,180,98.244,4.500,2,https://michael-maltsev.github.io/technion-histograms/00140632/,https://cheesefork.cf/?course=00140632&semester=202502
00140702,תכנון תחבורה,201701 to 202402,7,78.882,483,96.694,3.571,7,https://michael-maltsev.github.io/technion-histograms/00140702/,https://cheesefork.cf/?course=00140702&semester=202502
00140709,מעבדת דרכים,201901 to 202201,5,79.500,108,95.444,3.000,2,https://michael-maltsev.github.io/technion-histograms/00140709/,https://cheesefork.cf/?course=00140709&semester=202502
